Full Date,Date ID,Day,Month,Year,Quarter,Weekday,Is_Weekend
2014-09-13,104,13,9,2014,3,Saturday,1
2017-04-07,105,7,4,2017,2,Friday,0
2017-11-12,106,12,11,2017,4,Sunday,1
2014-06-01,107,1,6,2014,2,Sunday,1
2016-12-10,108,10,12,2016,4,Saturday,1
2016-09-11,109,11,9,2016,3,Sunday,1
2015-11-28,110,28,11,2015,4,Saturday,1
2017-06-08,111,8,6,2017,2,Thursday,0
2014-09-19,112,19,9,2014,3,Friday,0
2016-06-06,113,6,6,2016,2,Monday,0
2015-11-10,114,10,11,2015,4,Tuesday,0
2017-06-16,115,16,6,2017,2,Friday,0
2016-01-22,116,22,1,2016,1,Friday,0
2017-12-28,117,28,12,2017,4,Thursday,0
2015-07-30,118,30,7,2015,3,Thursday,0
2017-09-16,119,16,9,2017,3,Saturday,1
2017-10-13,120,13,10,2017,4,Friday,0
2015-09-26,121,26,9,2015,3,Saturday,1
2015-11-02,122,2,11,2015,4,Monday,0
2016-12-18,123,18,12,2016,4,Sunday,1
2017-11-19,124,19,11,2017,4,Sunday,1
2015-05-04,125,4,5,2015,2,Monday,0
2014-12-30,126,30,12,2014,4,Tuesday,0
2016-09-12,127,12,9,2016,3,Monday,0
2014-09-27,128,27,9,2014,3,Saturday,1
2014-08-09,129,9,8,2014,3,Saturday,1
2014-12-28,130,28,12,2014,4,Sunday,1
2014-11-04,131,4,11,2014,4,Tuesday,0
2016-04-23,132,23,4,2016,2,Saturday,1
2017-11-03,133,3,11,2017,4,Friday,0
2016-08-30,134,30,8,2016,3,Tuesday,0
2016-04-25,135,25,4,2016,2,Monday,0
2015-09-01,136,1,9,2015,3,Tuesday,0
2014-07-12,137,12,7,2014,3,Saturday,1
2015-06-22,138,22,6,2015,2,Monday,0
2014-04-13,139,13,4,2014,2,Sunday,1
2015-12-20,140,20,12,2015,4,Sunday,1
2017-06-15,141,15,6,2017,2,Thursday,0
2017-07-08,142,8,7,2017,3,Saturday,1
2016-09-01,143,1,9,2016,3,Thursday,0
2016-04-08,144,8,4,2016,2,Friday,0
2017-03-08,145,8,3,2017,1,Wednesday,0
2017-09-25,146,25,9,2017,3,Monday,0
2014-09-24,147,24,9,2014,3,Wednesday,0
2016-10-21,148,21,10,2016,4,Friday,0
2017-05-29,149,29,5,2017,2,Monday,0
2014-07-23,150,23,7,2014,3,Wednesday,0
2016-09-28,151,28,9,2016,3,Wednesday,0
2017-08-27,152,27,8,2017,3,Sunday,1
2015-04-28,153,28,4,2015,2,Tuesday,0
2015-06-26,154,26,6,2015,2,Friday,0
2015-11-27,155,27,11,2015,4,Friday,0
2015-12-03,156,3,12,2015,4,Thursday,0
2014-11-24,157,24,11,2014,4,Monday,0
2017-12-11,158,11,12,2017,4,Monday,0
2014-09-21,159,21,9,2014,3,Sunday,1
2014-06-07,160,7,6,2014,2,Saturday,1
2017-06-30,161,30,6,2017,2,Friday,0
2017-10-17,162,17,10,2017,4,Tuesday,0
2016-09-08,163,8,9,2016,3,Thursday,0
2014-12-24,164,24,12,2014,4,Wednesday,0
2014-04-16,165,16,4,2014,2,Wednesday,0
2017-12-24,166,24,12,2017,4,Sunday,1
2017-12-08,167,8,12,2017,4,Friday,0
2016-04-14,168,14,4,2016,2,Thursday,0
2017-03-04,169,4,3,2017,1,Saturday,1
2014-06-22,170,22,6,2014,2,Sunday,1
2017-08-21,171,21,8,2017,3,Monday,0
2014-09-12,172,12,9,2014,3,Friday,0
2017-10-01,173,1,10,2017,4,Sunday,1
2016-04-15,174,15,4,2016,2,Friday,0
2014-12-19,175,19,12,2014,4,Friday,0
2017-09-15,176,15,9,2017,3,Friday,0
2017-01-20,177,20,1,2017,1,Friday,0
2017-03-20,178,20,3,2017,1,Monday,0
2016-04-01,179,1,4,2016,2,Friday,0
2017-10-20,180,20,10,2017,4,Friday,0
2016-12-13,181,13,12,2016,4,Tuesday,0
2014-02-12,182,12,2,2014,1,Wednesday,0
2016-09-26,183,26,9,2016,3,Monday,0
2016-04-22,184,22,4,2016,2,Friday,0
2015-01-17,185,17,1,2015,1,Saturday,1
2017-03-31,186,31,3,2017,1,Friday,0
2016-12-16,187,16,12,2016,4,Friday,0
2014-11-09,188,9,11,2014,4,Sunday,1
2016-07-12,189,12,7,2016,3,Tuesday,0
2016-10-27,190,27,10,2016,4,Thursday,0
2016-06-26,191,26,6,2016,2,Sunday,1
2014-10-06,192,6,10,2014,4,Monday,0
2014-07-22,193,22,7,2014,3,Tuesday,0
2017-06-10,194,10,6,2017,2,Saturday,1
2014-10-29,195,29,10,2014,4,Wednesday,0
2016-05-09,196,9,5,2016,2,Monday,0
2016-03-18,197,18,3,2016,1,Friday,0
2016-07-25,198,25,7,2016,3,Monday,0
2016-05-30,199,30,5,2016,2,Monday,0
2015-03-16,200,16,3,2015,1,Monday,0
2017-11-26,201,26,11,2017,4,Sunday,1
2016-10-20,202,20,10,2016,4,Thursday,0
2017-12-21,203,21,12,2017,4,Thursday,0
2017-01-22,204,22,1,2017,1,Sunday,1
2015-03-22,205,22,3,2015,1,Sunday,1
2017-01-23,206,23,1,2017,1,Monday,0
2016-05-21,207,21,5,2016,2,Saturday,1
2015-12-26,208,26,12,2015,4,Saturday,1
2017-10-21,209,21,10,2017,4,Saturday,1
2015-11-07,210,7,11,2015,4,Saturday,1
2017-09-07,211,7,9,2017,3,Thursday,0
2016-05-29,212,29,5,2016,2,Sunday,1
2016-07-10,213,10,7,2016,3,Sunday,1
2017-09-03,214,3,9,2017,3,Sunday,1
2015-12-07,215,7,12,2015,4,Monday,0
2014-02-01,216,1,2,2014,1,Saturday,1
2016-07-14,217,14,7,2016,3,Thursday,0
2015-12-18,218,18,12,2015,4,Friday,0
2014-05-11,219,11,5,2014,2,Sunday,1
2015-11-15,220,15,11,2015,4,Sunday,1
2017-09-11,221,11,9,2017,3,Monday,0
2017-11-24,222,24,11,2017,4,Friday,0
2017-06-29,223,29,6,2017,2,Thursday,0
2014-03-03,224,3,3,2014,1,Monday,0
2016-06-10,225,10,6,2016,2,Friday,0
2017-11-20,226,20,11,2017,4,Monday,0
2017-12-07,227,7,12,2017,4,Thursday,0
2015-09-18,228,18,9,2015,3,Friday,0
2017-07-20,229,20,7,2017,3,Thursday,0
2015-09-10,230,10,9,2015,3,Thursday,0
2015-07-03,231,3,7,2015,3,Friday,0
2016-03-20,232,20,3,2016,1,Sunday,1
2014-01-09,233,9,1,2014,1,Thursday,0
2014-08-08,234,8,8,2014,3,Friday,0
2014-03-15,235,15,3,2014,1,Saturday,1
2014-05-23,236,23,5,2014,2,Friday,0
2016-04-28,237,28,4,2016,2,Thursday,0
2017-11-14,238,14,11,2017,4,Tuesday,0
2017-08-18,239,18,8,2017,3,Friday,0
2015-11-29,240,29,11,2015,4,Sunday,1
2017-05-19,241,19,5,2017,2,Friday,0
2017-09-24,242,24,9,2017,3,Sunday,1
2015-10-04,243,4,10,2015,4,Sunday,1
2016-08-15,244,15,8,2016,3,Monday,0
2016-05-20,245,20,5,2016,2,Friday,0
2017-07-30,246,30,7,2017,3,Sunday,1
2017-07-21,247,21,7,2017,3,Friday,0
2017-12-30,248,30,12,2017,4,Saturday,1
2016-10-23,249,23,10,2016,4,Sunday,1
2017-06-19,250,19,6,2017,2,Monday,0
2016-08-22,251,22,8,2016,3,Monday,0
2016-09-19,252,19,9,2016,3,Monday,0
2015-08-24,253,24,8,2015,3,Monday,0
2016-03-26,254,26,3,2016,1,Saturday,1
2016-11-04,255,4,11,2016,4,Friday,0
2017-06-09,256,9,6,2017,2,Friday,0
2017-12-05,257,5,12,2017,4,Tuesday,0
2017-03-18,258,18,3,2017,1,Saturday,1
2016-11-19,259,19,11,2016,4,Saturday,1
2017-11-04,260,4,11,2017,4,Saturday,1
2014-07-05,261,5,7,2014,3,Saturday,1
2014-06-21,262,21,6,2014,2,Saturday,1
2015-03-28,263,28,3,2015,1,Saturday,1
2015-05-14,264,14,5,2015,2,Thursday,0
2017-09-02,265,2,9,2017,3,Saturday,1
2015-04-09,266,9,4,2015,2,Thursday,0
2014-12-02,267,2,12,2014,4,Tuesday,0
2014-04-05,268,5,4,2014,2,Saturday,1
2014-07-01,269,1,7,2014,3,Tuesday,0
2014-01-11,270,11,1,2014,1,Saturday,1
2014-06-02,271,2,6,2014,2,Monday,0
2016-02-13,272,13,2,2016,1,Saturday,1
2016-12-15,273,15,12,2016,4,Thursday,0
2014-10-07,274,7,10,2014,4,Tuesday,0
2016-07-07,275,7,7,2016,3,Thursday,0
2016-12-03,276,3,12,2016,4,Saturday,1
2017-01-21,277,21,1,2017,1,Saturday,1
2014-01-04,278,4,1,2014,1,Saturday,1
2016-08-27,279,27,8,2016,3,Saturday,1
2014-05-27,280,27,5,2014,2,Tuesday,0
2017-10-02,281,2,10,2017,4,Monday,0
2016-04-07,282,7,4,2016,2,Thursday,0
2014-12-29,283,29,12,2014,4,Monday,0
2017-07-23,284,23,7,2017,3,Sunday,1
2015-08-31,285,31,8,2015,3,Monday,0
2015-02-08,286,8,2,2015,1,Sunday,1
2014-01-13,287,13,1,2014,1,Monday,0
2014-05-14,288,14,5,2014,2,Wednesday,0
2016-05-19,289,19,5,2016,2,Thursday,0
2017-01-30,290,30,1,2017,1,Monday,0
2014-06-29,291,29,6,2014,2,Sunday,1
2015-08-21,292,21,8,2015,3,Friday,0
2015-10-03,293,3,10,2015,4,Saturday,1
2015-05-23,294,23,5,2015,2,Saturday,1
2017-03-17,295,17,3,2017,1,Friday,0
2015-12-12,296,12,12,2015,4,Saturday,1
2017-09-21,297,21,9,2017,3,Thursday,0
2017-02-20,298,20,2,2017,1,Monday,0
2016-08-18,299,18,8,2016,3,Thursday,0
2016-03-12,300,12,3,2016,1,Saturday,1
2017-04-22,301,22,4,2017,2,Saturday,1
2014-11-01,302,1,11,2014,4,Saturday,1
2015-02-03,303,3,2,2015,1,Tuesday,0
2014-10-13,304,13,10,2014,4,Monday,0
2017-05-14,305,14,5,2017,2,Sunday,1
2015-03-20,306,20,3,2015,1,Friday,0
2016-09-15,307,15,9,2016,3,Thursday,0
2014-06-28,308,28,6,2014,2,Saturday,1
2017-06-20,309,20,6,2017,2,Tuesday,0
2014-05-09,310,9,5,2014,2,Friday,0
2016-07-23,311,23,7,2016,3,Saturday,1
2016-03-07,312,7,3,2016,1,Monday,0
2015-11-20,313,20,11,2015,4,Friday,0
2015-10-13,314,13,10,2015,4,Tuesday,0
2017-01-01,315,1,1,2017,1,Sunday,1
2014-02-07,316,7,2,2014,1,Friday,0
2016-05-28,317,28,5,2016,2,Saturday,1
2016-02-19,318,19,2,2016,1,Friday,0
2017-04-10,319,10,4,2017,2,Monday,0
2016-01-05,320,5,1,2016,1,Tuesday,0
2014-01-10,321,10,1,2014,1,Friday,0
2016-09-29,322,29,9,2016,3,Thursday,0
2014-04-06,323,6,4,2014,2,Sunday,1
2016-09-03,324,3,9,2016,3,Saturday,1
2015-10-19,325,19,10,2015,4,Monday,0
2014-12-10,326,10,12,2014,4,Wednesday,0
2017-08-25,327,25,8,2017,3,Friday,0
2016-01-17,328,17,1,2016,1,Sunday,1
2014-09-17,329,17,9,2014,3,Wednesday,0
2017-11-30,330,30,11,2017,4,Thursday,0
2015-10-09,331,9,10,2015,4,Friday,0
2017-12-23,332,23,12,2017,4,Saturday,1
2016-10-22,333,22,10,2016,4,Saturday,1
2014-04-29,334,29,4,2014,2,Tuesday,0
2015-04-25,335,25,4,2015,2,Saturday,1
2017-06-26,336,26,6,2017,2,Monday,0
2017-10-14,337,14,10,2017,4,Saturday,1
2014-12-09,338,9,12,2014,4,Tuesday,0
2016-11-10,339,10,11,2016,4,Thursday,0
2016-10-03,340,3,10,2016,4,Monday,0
2014-09-09,341,9,9,2014,3,Tuesday,0
2017-10-29,342,29,10,2017,4,Sunday,1
2016-04-10,343,10,4,2016,2,Sunday,1
2017-11-11,344,11,11,2017,4,Saturday,1
2017-11-27,345,27,11,2017,4,Monday,0
2014-06-15,346,15,6,2014,2,Sunday,1
2016-03-05,347,5,3,2016,1,Saturday,1
2015-04-11,348,11,4,2015,2,Saturday,1
2015-10-05,349,5,10,2015,4,Monday,0
2017-04-14,350,14,4,2017,2,Friday,0
2015-12-13,351,13,12,2015,4,Sunday,1
2016-06-19,352,19,6,2016,2,Sunday,1
2015-05-29,353,29,5,2015,2,Friday,0
2015-07-26,354,26,7,2015,3,Sunday,1
2017-11-28,355,28,11,2017,4,Tuesday,0
2017-04-03,356,3,4,2017,2,Monday,0
2017-05-15,357,15,5,2017,2,Monday,0
2015-09-22,358,22,9,2015,3,Tuesday,0
2014-09-22,359,22,9,2014,3,Monday,0
2017-04-09,360,9,4,2017,2,Sunday,1
2014-01-16,361,16,1,2014,1,Thursday,0
2017-10-05,362,5,10,2017,4,Thursday,0
2017-07-09,363,9,7,2017,3,Sunday,1
2017-01-07,364,7,1,2017,1,Saturday,1
2015-12-09,365,9,12,2015,4,Wednesday,0
2017-09-29,366,29,9,2017,3,Friday,0
2015-03-10,367,10,3,2015,1,Tuesday,0
2017-05-21,368,21,5,2017,2,Sunday,1
2015-03-29,369,29,3,2015,1,Sunday,1
2016-09-09,370,9,9,2016,3,Friday,0
2016-08-26,371,26,8,2016,3,Friday,0
2014-05-21,372,21,5,2014,2,Wednesday,0
2015-10-28,373,28,10,2015,4,Wednesday,0
2016-11-13,374,13,11,2016,4,Sunday,1
2015-07-31,375,31,7,2015,3,Friday,0
2015-08-27,376,27,8,2015,3,Thursday,0
2015-11-06,377,6,11,2015,4,Friday,0
2017-12-26,378,26,12,2017,4,Tuesday,0
2017-08-01,379,1,8,2017,3,Tuesday,0
2015-12-21,380,21,12,2015,4,Monday,0
2015-07-06,381,6,7,2015,3,Monday,0
2015-04-27,382,27,4,2015,2,Monday,0
2015-06-16,383,16,6,2015,2,Tuesday,0
2016-01-11,384,11,1,2016,1,Monday,0
2014-07-11,385,11,7,2014,3,Friday,0
2015-06-13,386,13,6,2015,2,Saturday,1
2017-10-12,387,12,10,2017,4,Thursday,0
2016-03-08,388,8,3,2016,1,Tuesday,0
2015-04-04,389,4,4,2015,2,Saturday,1
2017-12-10,390,10,12,2017,4,Sunday,1
2016-11-24,391,24,11,2016,4,Thursday,0
2015-03-23,392,23,3,2015,1,Monday,0
2015-04-16,393,16,4,2015,2,Thursday,0
2016-10-01,394,1,10,2016,4,Saturday,1
2017-09-28,395,28,9,2017,3,Thursday,0
2015-07-25,396,25,7,2015,3,Saturday,1
2016-11-12,397,12,11,2016,4,Saturday,1
2017-09-23,398,23,9,2017,3,Saturday,1
2016-03-01,399,1,3,2016,1,Tuesday,0
2016-08-12,400,12,8,2016,3,Friday,0
2017-06-04,401,4,6,2017,2,Sunday,1
2015-12-06,402,6,12,2015,4,Sunday,1
2014-06-25,403,25,6,2014,2,Wednesday,0
2016-06-14,404,14,6,2016,2,Tuesday,0
2017-12-18,405,18,12,2017,4,Monday,0
2016-07-22,406,22,7,2016,3,Friday,0
2015-09-04,407,4,9,2015,3,Friday,0
2014-01-20,408,20,1,2014,1,Monday,0
2016-04-12,409,12,4,2016,2,Tuesday,0
2016-12-06,410,6,12,2016,4,Tuesday,0
2016-06-05,411,5,6,2016,2,Sunday,1
2014-09-29,412,29,9,2014,3,Monday,0
2015-05-08,413,8,5,2015,2,Friday,0
2016-12-31,414,31,12,2016,4,Saturday,1
2014-12-20,415,20,12,2014,4,Saturday,1
2016-07-02,416,2,7,2016,3,Saturday,1
2014-09-01,417,1,9,2014,3,Monday,0
2014-05-04,418,4,5,2014,2,Sunday,1
2014-03-10,419,10,3,2014,1,Monday,0
2014-04-21,420,21,4,2014,2,Monday,0
2015-10-22,421,22,10,2015,4,Thursday,0
2015-08-22,422,22,8,2015,3,Saturday,1
2014-12-27,423,27,12,2014,4,Saturday,1
2016-04-24,424,24,4,2016,2,Sunday,1
2017-01-14,425,14,1,2017,1,Saturday,1
2017-02-26,426,26,2,2017,1,Sunday,1
2015-09-15,427,15,9,2015,3,Tuesday,0
2016-07-18,428,18,7,2016,3,Monday,0
2017-09-09,429,9,9,2017,3,Saturday,1
2016-12-04,430,4,12,2016,4,Sunday,1
2014-08-11,431,11,8,2014,3,Monday,0
2016-02-15,432,15,2,2016,1,Monday,0
2014-12-12,433,12,12,2014,4,Friday,0
2015-07-04,434,4,7,2015,3,Saturday,1
2017-03-10,435,10,3,2017,1,Friday,0
2016-12-24,436,24,12,2016,4,Saturday,1
2017-10-23,437,23,10,2017,4,Monday,0
2017-07-07,438,7,7,2017,3,Friday,0
2016-04-21,439,21,4,2016,2,Thursday,0
2016-05-26,440,26,5,2016,2,Thursday,0
2016-05-02,441,2,5,2016,2,Monday,0
2016-11-22,442,22,11,2016,4,Tuesday,0
2015-05-25,443,25,5,2015,2,Monday,0
2016-12-23,444,23,12,2016,4,Friday,0
2015-09-19,445,19,9,2015,3,Saturday,1
2017-07-03,446,3,7,2017,3,Monday,0
2016-09-24,447,24,9,2016,3,Saturday,1
2017-02-03,448,3,2,2017,1,Friday,0
2017-03-03,449,3,3,2017,1,Friday,0
2017-10-09,450,9,10,2017,4,Monday,0
2014-09-28,451,28,9,2014,3,Sunday,1
2015-06-14,452,14,6,2015,2,Sunday,1
2016-03-30,453,30,3,2016,1,Wednesday,0
2017-10-15,454,15,10,2017,4,Sunday,1
2016-05-23,455,23,5,2016,2,Monday,0
2017-06-02,456,2,6,2017,2,Friday,0
2014-02-16,457,16,2,2014,1,Sunday,1
2014-05-06,458,6,5,2014,2,Tuesday,0
2016-05-16,459,16,5,2016,2,Monday,0
2017-04-02,460,2,4,2017,2,Sunday,1
2017-01-02,461,2,1,2017,1,Monday,0
2014-03-17,462,17,3,2014,1,Monday,0
2014-10-03,463,3,10,2014,4,Friday,0
2016-03-28,464,28,3,2016,1,Monday,0
2017-05-04,465,4,5,2017,2,Thursday,0
2016-05-05,466,5,5,2016,2,Thursday,0
2017-04-26,467,26,4,2017,2,Wednesday,0
2014-09-26,468,26,9,2014,3,Friday,0
2017-11-10,469,10,11,2017,4,Friday,0
2017-03-07,470,7,3,2017,1,Tuesday,0
2014-04-01,471,1,4,2014,2,Tuesday,0
2015-09-14,472,14,9,2015,3,Monday,0
2014-08-04,473,4,8,2014,3,Monday,0
2016-02-05,474,5,2,2016,1,Friday,0
2016-11-01,475,1,11,2016,4,Tuesday,0
2016-04-19,476,19,4,2016,2,Tuesday,0
2016-09-02,477,2,9,2016,3,Friday,0
2016-09-25,478,25,9,2016,3,Sunday,1
2016-07-09,479,9,7,2016,3,Saturday,1
2014-06-30,480,30,6,2014,2,Monday,0
2017-01-28,481,28,1,2017,1,Saturday,1
2015-09-21,482,21,9,2015,3,Monday,0
2016-12-26,483,26,12,2016,4,Monday,0
2017-04-12,484,12,4,2017,2,Wednesday,0
2017-12-19,485,19,12,2017,4,Tuesday,0
2017-08-05,486,5,8,2017,3,Saturday,1
2015-10-01,487,1,10,2015,4,Thursday,0
2017-06-13,488,13,6,2017,2,Tuesday,0
2014-04-23,489,23,4,2014,2,Wednesday,0
2015-05-01,490,1,5,2015,2,Friday,0
2015-07-19,491,19,7,2015,3,Sunday,1
2016-11-26,492,26,11,2016,4,Saturday,1
2017-06-12,493,12,6,2017,2,Monday,0
2015-08-17,494,17,8,2015,3,Monday,0
2015-12-01,495,1,12,2015,4,Tuesday,0
2015-05-16,496,16,5,2015,2,Saturday,1
2015-09-24,497,24,9,2015,3,Thursday,0
2017-07-11,498,11,7,2017,3,Tuesday,0
2017-03-19,499,19,3,2017,1,Sunday,1
2016-12-02,500,2,12,2016,4,Friday,0
2016-10-14,501,14,10,2016,4,Friday,0
2014-11-27,502,27,11,2014,4,Thursday,0
2015-11-03,503,3,11,2015,4,Tuesday,0
2014-11-29,504,29,11,2014,4,Saturday,1
2017-04-30,505,30,4,2017,2,Sunday,1
2017-10-30,506,30,10,2017,4,Monday,0
2014-12-17,507,17,12,2014,4,Wednesday,0
2017-09-04,508,4,9,2017,3,Monday,0
2016-10-17,509,17,10,2016,4,Monday,0
2015-08-01,510,1,8,2015,3,Saturday,1
2017-09-12,511,12,9,2017,3,Tuesday,0
2014-02-03,512,3,2,2014,1,Monday,0
2017-02-11,513,11,2,2017,1,Saturday,1
2017-04-16,514,16,4,2017,2,Sunday,1
2015-03-26,515,26,3,2015,1,Thursday,0
2017-08-31,516,31,8,2017,3,Thursday,0
2017-02-10,517,10,2,2017,1,Friday,0
2016-10-29,518,29,10,2016,4,Saturday,1
2014-03-11,519,11,3,2014,1,Tuesday,0
2014-02-04,520,4,2,2014,1,Tuesday,0
2014-12-31,521,31,12,2014,4,Wednesday,0
2015-11-23,522,23,11,2015,4,Monday,0
2014-07-06,523,6,7,2014,3,Sunday,1
2014-05-03,524,3,5,2014,2,Saturday,1
2017-10-16,525,16,10,2017,4,Monday,0
2015-02-06,526,6,2,2015,1,Friday,0
2016-04-09,527,9,4,2016,2,Saturday,1
2014-04-04,528,4,4,2014,2,Friday,0
2017-09-05,529,5,9,2017,3,Tuesday,0
2015-11-09,530,9,11,2015,4,Monday,0
2014-03-04,531,4,3,2014,1,Tuesday,0
2015-03-19,532,19,3,2015,1,Thursday,0
2017-06-11,533,11,6,2017,2,Sunday,1
2014-11-23,534,23,11,2014,4,Sunday,1
2014-12-15,535,15,12,2014,4,Monday,0
2016-02-27,536,27,2,2016,1,Saturday,1
2016-05-12,537,12,5,2016,2,Thursday,0
2015-06-23,538,23,6,2015,2,Tuesday,0
2014-10-19,539,19,10,2014,4,Sunday,1
2015-03-24,540,24,3,2015,1,Tuesday,0
2017-05-08,541,8,5,2017,2,Monday,0
2016-05-08,542,8,5,2016,2,Sunday,1
2014-05-26,543,26,5,2014,2,Monday,0
2016-03-15,544,15,3,2016,1,Tuesday,0
2015-08-10,545,10,8,2015,3,Monday,0
2016-09-10,546,10,9,2016,3,Saturday,1
2015-12-19,547,19,12,2015,4,Saturday,1
2015-11-16,548,16,11,2015,4,Monday,0
2017-06-21,549,21,6,2017,2,Wednesday,0
2015-11-01,550,1,11,2015,4,Sunday,1
2014-08-29,551,29,8,2014,3,Friday,0
2017-11-18,552,18,11,2017,4,Saturday,1
2014-05-12,553,12,5,2014,2,Monday,0
2015-01-10,554,10,1,2015,1,Saturday,1
2016-03-22,555,22,3,2016,1,Tuesday,0
2015-12-11,556,11,12,2015,4,Friday,0
2016-05-18,557,18,5,2016,2,Wednesday,0
2014-09-07,558,7,9,2014,3,Sunday,1
2017-04-24,559,24,4,2017,2,Monday,0
2014-08-16,560,16,8,2014,3,Saturday,1
2016-03-14,561,14,3,2016,1,Monday,0
